"TSTEP","MONTH","YEAR","EUP_ces85","COP_ces85","MZP_ces85","PhL_ces85","PhS_ces85"
558,6,2052,0.221680926919504,0.183537047518276,0.167489320262399,-0.173985947978827,-0.102048052824506
559,7,2052,-0.114864147470677,-0.387620807634023,0.0944452220852876,-0.0808197967795692,-0.0039832520660642
560,8,2052,-0.225049309633791,-0.557836255866845,0.0554839006965646,-0.242138010771146,-0.0535027970604142
561,9,2052,-0.173595450110335,-0.517720851250505,0.295050921117637,0.311448981556353,-0.011671096912894
562,10,2052,-0.233938317026443,-0.57537268807602,-0.0444874960511772,-0.492770804589661,-0.108186611286332
563,11,2052,-0.208804728405951,-0.581487462931646,-0.187973145637703,-0.460279833746434,-0.152032060268651
564,12,2052,-0.183668954384232,-0.569614052147321,-0.185598666347045,-0.194778806041398,-0.207116358225841
565,1,2053,-0.720138952320255,-0.908133110570083,-0.595229231246015,0.301571927038443,-0.864026871288174
566,2,2053,-0.954208432676683,-1.01942205490644,-0.156414749433413,-0.0297136733892777,-0.18719086026462
567,3,2053,-0.197872442002276,-0.258703023632571,-0.472319199584768,-0.027381950238515,-0.166921718659249
568,4,2053,0.17843799340538,-0.00544304036080745,-0.798513223703357,-0.159706839131792,-0.223854697438915
569,5,2053,-0.312009402602562,-0.414437691262657,-0.476589197625666,-0.0469613643109971,-0.391916174879265
570,6,2053,0.415762560113614,0.287394195730206,-0.379938721178989,0.272159138507243,-0.212473050385387
571,7,2053,0.143585300258525,-0.22340217176359,0.0621527338340198,0.377620498568289,-0.112238513090918
572,8,2053,0.277980427132312,-0.280538363946784,-0.123720468655071,-0.0888207109639431,-0.184371382114899
573,9,2053,0.161582373137225,-0.349898302944234,-0.049342877729165,0.0852381078799083,-0.230375486125413
574,10,2053,0.218386813008197,-0.309828663349208,0.0180647363194537,0.142873870670598,-0.00836039742525807
575,11,2053,0.311089381886592,-0.275270614104706,0.166033481069127,1.11008531867836,0.0211521668161869
576,12,2053,0.033957763155716,-0.456421545067655,0.107490622257454,-0.198159676411251,0.232405253651228
577,1,2054,0.342688374552254,-0.251415324045396,1.14894186473075,0.145645498123481,1.71003687541843
578,2,2054,2.7472345059857,1.18053615016056,0.748684242203561,0.116791684360651,0.0436559303737052
579,3,2054,0.280824408435437,0.454809016873068,0.920541863322239,0.392672980142667,-0.142768192065617
580,4,2054,0.425015859263811,0.340840224620959,0.611612934306903,0.044928718853489,-0.188563692485482
581,5,2054,0.489642200520261,0.628321263047852,0.0902817893317029,-0.209788832871323,-0.309502530554468
582,6,2054,-0.33367171131574,-0.401734944913677,0.11064601004643,-0.194232624855947,-0.24256875907772
583,7,2054,-0.149317973691833,-0.392332185196869,0.142674994522423,0.25758047604032,-0.277725028297422
584,8,2054,-0.133243555090961,-0.501440129141627,-0.0555826442045431,-0.0929095141209317,-0.484436911876851
585,9,2054,-0.520655582831796,-0.723657396865613,0.106236363005578,0.59520933335063,-0.646407530545327
586,10,2054,-0.445865050384175,-0.695703336495977,0.00788438195975538,0.159996013715472,-0.60227028779139
587,11,2054,-0.244658866885608,-0.594337252426125,-0.207780391524096,-0.341805262133477,-0.573705784072275
588,12,2054,-0.427155798540019,-0.70825019646356,-0.347680613283776,0.00114554832307423,-0.053715248281904
589,1,2055,0.674827522845993,-0.0546530085437812,0.496978705940553,0.0627009551768036,3.09951122235519
590,2,2055,1.23248916345814,0.283302038004201,0.304575896548246,0.127383606157992,0.159247524043365
591,3,2055,-0.225246173110892,-0.269224462618774,0.41997749361705,0.472576420675382,-0.0702773582080883
592,4,2055,0.0172584913709268,0.0370216830408487,0.743656518732243,0.364411227884214,0.00978175808207493
593,5,2055,0.439801805285572,0.607784974640548,0.282997716416623,-0.127056394526177,0.127077171945599
594,6,2055,-0.423046843172249,-0.435059030998263,-0.0376007728974681,-0.369072537262672,-0.105555681715383
595,7,2055,-0.240326975799394,-0.441255573363205,0.0488493638908956,-0.0129927704527103,-0.181231704998142
596,8,2055,-0.301986676662969,-0.607640566351829,0.0414140659970379,0.244158240192643,-0.334345205399258
597,9,2055,-0.474976531216105,-0.704235397679937,0.185860735227029,0.515151332708796,-0.516503546721194
598,10,2055,-0.220123205136406,-0.561618598998006,-0.0516369954325182,0.162299490999269,-0.481168695280129
599,11,2055,-0.122757715138767,-0.525664414975254,-0.0804005777813274,0.264120991183251,-0.535653337605414
600,12,2055,-0.479003657769241,-0.756989974543602,-0.444929022237425,0.0919220938645209,-0.615083446080171
601,1,2056,-0.653108672887899,-0.865660266962003,-0.574524887799379,0.875850411188361,-0.832429352726402
602,2,2056,-1.78246520581797,-1.41219817669551,0.186962630560701,1.16442219146261,-0.173716199680417
603,3,2056,-0.265662226173794,-0.217143226216055,0.937681063082526,0.784379794626805,-0.139436656047783
604,4,2056,1.02700519222437,0.99369208219977,1.03218355333223,0.491525030283619,-0.131574583469547
605,5,2056,0.00557340237992254,0.098503359501386,0.26195473505389,-0.252566141956881,-0.286285857668197
606,6,2056,-0.546009067729054,-0.535832059843188,-0.0807699699021983,-0.302487816951601,-0.26941790331309
607,7,2056,-0.209969185696713,-0.433835415927813,0.186362978249324,0.117679807602294,-0.22282882011197
608,8,2056,-0.442424095796359,-0.685101407442313,0.377490451629574,0.969017261698006,-0.32957381809159
609,9,2056,-0.447043559842576,-0.666411927775648,0.320535816425751,0.865842269664787,-0.586926657724666
610,10,2056,-0.252174768968459,-0.57149455360461,0.12285924918585,0.215460422790902,-0.580286713909111
611,11,2056,-0.276963693140808,-0.61004795621512,-0.273266713569945,-0.578224945961865,-0.590325888230226
612,12,2056,-0.571290277523006,-0.798298832138691,-0.583172807061334,0.00837316988360959,-0.64346346364311
613,1,2057,-0.764815347587257,-0.927493898001577,-0.759029437075049,0.258467886398974,-0.925051998966165
614,2,2057,-2.18205258436095,-1.66332521317337,-0.561566844720947,0.461552499744674,-0.20407740914563
615,3,2057,-0.495969389215358,-0.586963718748428,-0.279960675557262,-0.098734096628608,-0.169230273608387
616,4,2057,0.337479240657703,0.492518983194195,-0.11029861170316,0.207389815856365,-0.176653498729155
617,5,2057,0.237486077022076,0.296548533198434,0.293924126365255,0.328199892284511,-0.232124109908796
618,6,2057,-0.0876421017487024,-0.0851953909124442,0.366398419029884,0.0133449409553366,-0.170207285227035
619,7,2057,0.0971159914213902,-0.201984271688459,0.17437641068279,0.160608861678822,-0.30208747945261
620,8,2057,-0.273700684337909,-0.59314214522757,0.0461497635471479,-0.262003197621339,-0.386928042432088
621,9,2057,-0.433943204547323,-0.681274286780004,0.12113959528811,0.0399602658574416,-0.568912550815742
622,10,2057,-0.328895508645118,-0.640809615140949,0.0418320276979478,-0.291152577078829,-0.59225552161641
623,11,2057,-0.315243448867472,-0.642470363111131,-0.298907870793793,-0.739820967502322,-0.590862797682008
624,12,2057,-0.634078795353837,-0.832158297921834,-0.608681627573022,-0.101397125513823,-0.653118879586273
625,1,2058,-0.863797137132014,-0.971022989649798,-0.839038924627023,0.169483064495363,-0.973929925864349
626,2,2058,-2.11188945033345,-1.62919888612305,-0.086716115337885,0.626602115508937,-0.216218123418445
627,3,2058,-0.20339831560576,-0.0742247758883818,0.518572691264383,0.714239346105043,-0.146239488257589
628,4,2058,0.752683329811323,0.761165244441887,0.242907505859579,0.394614109824611,-0.155889336919356
629,5,2058,0.177853234085199,0.200224045215057,0.152268246074949,0.329948184336406,-0.203195623091974
630,6,2058,0.275541669371971,0.254286171882852,0.244757982337994,-0.0980069258721566,-0.227900136324606
631,7,2058,-0.137274896215726,-0.40614102680135,0.226106989053353,0.243157121751414,-0.237606937744953
632,8,2058,-0.327646455723792,-0.62657822924458,0.0487936250322738,0.00955821107904309,-0.297236269026581
633,9,2058,-0.4009460314811,-0.647912271969052,0.129645215941864,0.326308249432553,-0.398935767250087
634,10,2058,-0.311990835186995,-0.617981954143585,-0.0785309232594225,-0.130134730806524,-0.385061687154067
635,11,2058,-0.100967636801666,-0.514773105912236,-0.0637755483953221,0.0462083975442225,-0.372250997918434
